12:37:15.950 [main] INFO  c.a.s.k.s.auto.AutoscalingController - Starting Kinesis Autoscaling Agent
13:23:37.511 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 4.98% (157,680 Bytes of 3145728)
13:23:37.514 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 72.45% (2,181 Records of 3000)
13:23:37.514 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 72.45%
13:23:37.514 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 2.57% (156,886 Bytes of 6291456)
13:23:37.514 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 37.39% (2,179 Records of 6000)
13:23:37.515 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 37.39%
13:23:37.560 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - No Scaling required - Stream capacity within specified tolerances
13:23:37.578 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
13:28:37.681 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 5.31% (169,798 Bytes of 3145728)
13:28:37.685 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 77.63% (2,358 Records of 3000)
13:28:37.685 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 77.63%
13:28:37.686 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 2.65% (169,157 Bytes of 6291456)
13:28:37.686 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 38.28% (2,270 Records of 6000)
13:28:37.686 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 38.28%
13:28:37.732 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - No Scaling required - Stream capacity within specified tolerances
13:28:37.766 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
13:33:37.868 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 5.71% (181,469 Bytes of 3145728)
13:33:37.868 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 82.67% (2,520 Records of 3000)
13:33:37.868 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 82.67%
13:33:37.869 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 2.90% (181,085 Bytes of 6291456)
13:33:37.871 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 40.69% (2,368 Records of 6000)
13:33:37.871 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 40.69%
13:33:37.915 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - No Scaling required - Stream capacity within specified tolerances
13:33:37.943 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
13:38:38.038 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 6.29% (202,297 Bytes of 3145728)
13:38:38.040 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 91.97% (2,810 Records of 3000)
13:38:38.040 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 91.97%
13:38:38.040 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 3.14% (202,775 Bytes of 6291456)
13:38:38.040 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 46.03% (2,707 Records of 6000)
13:38:38.041 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 46.03%
13:38:38.084 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Requesting Scale Up of Stream in_stream by 1 as [PUT, GET] has been above 80% for 5 Minutes
13:38:38.084 [pool-1-thread-1] INFO  c.a.s.kinesis.scaling.StreamScaler - Updating Stream in_stream Shard Count to 4
13:38:38.161 [pool-1-thread-1] INFO  c.a.s.kinesis.scaling.StreamScaler - Waiting for Stream to transition back to Active Status
13:39:24.667 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
13:44:24.777 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 7.13% (224,238 Bytes of 3145728)
13:44:24.777 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 103.28% (3,082 Records of 3000)
13:44:24.777 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 103.28%
13:44:24.778 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 3.98% (224,066 Bytes of 6291456)
13:44:24.778 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 88.91% (7,538 Records of 6000)
13:44:24.778 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 88.91%
13:44:24.818 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Stream in_stream: Deferring Scale Up until Cool Off Period of 10 Minutes has elapsed
13:44:24.829 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
13:49:24.939 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 5.14% (212,736 Bytes of 4194304)
13:49:24.939 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 76.34% (3,024 Records of 4000)
13:49:24.939 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 76.34%
13:49:24.939 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 2.57% (211,097 Bytes of 8388608)
13:49:24.939 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 37.44% (2,932 Records of 8000)
13:49:24.940 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 37.44%
13:49:24.996 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - No Scaling required - Stream capacity within specified tolerances
13:49:25.025 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
13:54:25.140 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 4.41% (177,026 Bytes of 4194304)
13:54:25.140 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 64.22% (2,562 Records of 4000)
13:54:25.140 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 64.22%
13:54:25.140 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 2.32% (195,118 Bytes of 8388608)
13:54:25.140 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 33.71% (2,887 Records of 8000)
13:54:25.140 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 33.71%
13:54:25.185 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - No Scaling required - Stream capacity within specified tolerances
13:54:25.227 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
13:59:25.342 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 3.53% (138,541 Bytes of 4194304)
13:59:25.343 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 52.27% (2,066 Records of 4000)
13:59:25.343 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 52.27%
13:59:25.343 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 1.79% (156,348 Bytes of 8388608)
13:59:25.343 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 25.70% (2,063 Records of 8000)
13:59:25.343 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 25.70%
13:59:25.384 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - No Scaling required - Stream capacity within specified tolerances
13:59:25.402 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
14:04:25.506 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 2.35% (102,902 Bytes of 4194304)
14:04:25.506 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 37.38% (1,556 Records of 4000)
14:04:25.506 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 37.38%
14:04:25.507 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 1.25% (112,432 Bytes of 8388608)
14:04:25.507 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 17.07% (1,311 Records of 8000)
14:04:25.507 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 17.07%
14:04:25.557 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - No Scaling required - Stream capacity within specified tolerances
14:04:25.613 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
14:09:25.700 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 1.54% (58,399 Bytes of 4194304)
14:09:25.701 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 22.71% (898 Records of 4000)
14:09:25.701 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 22.71%
14:09:25.702 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 0.77% (64,900 Bytes of 8388608)
14:09:25.702 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 10.72% (814 Records of 8000)
14:09:25.702 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 10.72%
14:09:25.753 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Requesting Scale Down of Stream in_stream by 1 as [PUT, GET] has been below 30% for 5 Minutes
14:09:25.753 [pool-1-thread-1] INFO  c.a.s.kinesis.scaling.StreamScaler - Updating Stream in_stream Shard Count to 3
14:09:25.819 [pool-1-thread-1] INFO  c.a.s.kinesis.scaling.StreamScaler - Waiting for Stream to transition back to Active Status
14:10:03.097 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
14:15:03.240 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 0.98% (41,192 Bytes of 4194304)
14:15:03.241 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 14.49% (555 Records of 4000)
14:15:03.241 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 14.49%
